Product Name,Description,Quantity,Unit Price,Total Price,Link,Shipping cost
Digital pocket oscilloscope DSO152,,1,£31 ,£31 ,https://www.amazon.co.uk/Oscilloscope-DSO152-Handheld-Automotive-Bandwidth/dp/B0GCMV1MKQ/ref=sr_1_9?crid=I2IMFWQ1I5AR&dib=eyJ2IjoiMSJ9.PPvEwAHM3BvmWwasgnvJyDLZKhuXXZwjJ2CLguEfdbdKOgymxUoIwyGedmQS6RV1Z4nu2xVYBGEZw0BU-yFsGYE-3CJ0qJKWntLastJJhQkZI5xqC6asRG3-UAaVzkboAeKFn7yB5Ct7i56Hyk5UcM6oo_pYFsAQCRrb6bUss14YKJ4wrWgaThed_bJbDrWkUbgHg6tlBZl4dGpm7wtp0kUN9926XJe9Jfqr_GQcMO6Trcf58J-MiFVvNH37PUn7nC0SZCXPlo539D1LyIe1VDeG9hL1xVDCbOJGDQGlTkE.hAi4Duowa2nDstFSfRtJdMQ0Z7uRXWiP2QuDD6ZahiE&dib_tag=se&keywords=Portable%2Boscilloscope&qid=1773957483&s=industrial&sprefix=portable%2Boscillosco%2Cindustrial%2C252&sr=1-9&th=1,
Mean Well RT65-C power supply,,1,£27.00 ,£27 ,https://www.amazon.co.uk/Switching-RT-65C-5-Converter-Transformer-Indicator/dp/B0CXJJ38GV/ref=asc_df_B0CXJJ38GV?mcid=ed0701a47b8935769f75beddfdbf45f0&tag=googshopuk-21&linkCode=df0&hvadid=710848715213&hvpos=&hvnetw=g&hvrand=8513745681548607294&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9045999&hvtargid=pla-2406316242908&hvocijid=8513745681548607294-B0CXJJ38GV-&hvexpln=0&gad_source=1&th=1,
"AstroAi Digital Multimeter (½, F, V, I, Hz(",,1,£23.00 ,£23.00 ,https://www.amazon.co.uk/AstroAI-Multimeters-Capacitance-Transistors-Temperature/dp/B071JL6LLL/ref=asc_df_B071JL6LLL?mcid=ccea06c5d5193ac9ac44a187bf0dd63f&tag=googshopuk-21&linkCode=df0&hvadid=696352102734&hvpos=&hvnetw=g&hvrand=2306560209200502842&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9045999&hvtargid=pla-440038686649&hvocijid=2306560209200502842-B071JL6LLL-&hvexpln=0&gad_source=1&th=1,
Large Solderless Breadboard,,2,£9.20 ,£18.40 ,https://www.aliexpress.com/item/1005009569771202.html?spm=a2g0o.productlist.main.18.3a185a2fR7ffxs&algo_pvid=8061c19a-32e7-4c2e-ad36-0d5309555a57&algo_exp_id=8061c19a-32e7-4c2e-ad36-0d5309555a57-17&pdp_ext_f=%7B%22order%22%3A%22268%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%2111.20%219.20%21%21%2114.44%2111.86%21%40210390c217739563197454640e4404%2112000049489694994%21sea%21UK%214777915101%21X%211%210%21n_tag%3A-29919%3Bd%3Ad383ee7c%3Bm03_new_user%3A-29895%3BpisId%3A5000000202126762&curPageLogUid=P3ALLCbMyXPM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009569771202%7C_p_origin_prod%3A,
12x18cm Protoboard,,10,£1.21 ,£12.10 ,https://www.aliexpress.com/item/1005006100148769.html?spm=a2g0o.cart.0.0.76f238daYvZvQl&mp=1&pdp_npi=6%40dis%21GBP%21GBP%204.50%21GBP%201.31%21%21GBP%201.31%21%21%21%402103919917739562785621421e6679%2112000035755220377%21ct%21UK%214777915101%21%215%210%21,
Tl074 Quad Op-Amps,Various uses,10,£0.59 ,£5.88 ,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TL074ACN?qs=IEl3ej0IqwCwHW3RmzQ1ew%3D%3D,
AS3310 VCADSR IC,VCADSR envelope generator,2,£5.58 ,£11.16 ,https://electricdruid.net/product/as3310-vcadsr/,
SSI2131 VCO IC,VCO/LFO chip,3,£3.35 ,£10.05 ,https://www.thonk.co.uk/shop/sound-semiconductor/,
DPDT On-On miniature toggle,Waveform selection,10,£0.93 ,£9.30 ,https://www.switchelectronics.co.uk/products/on-on-miniature-toggle-switch-dpdt,
TL072 Dual Op Amps,Various uses,14,£0.56 ,£7.87 ,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TL072CP?qs=5nGYs9Do7G3e6Tx9uHIgUA%3D%3D,
SOP-16SMD to DIP-16 breakout,Interface VCO/VCF  with DIP-16,6,£1.27 ,£7.60 ,https://thepihut.com/products/adafruit-smt-breakout-pcb-for-soic-16-or-tssop-16-3-pack?variant=27739249105&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=22549809780&gbraid=0AAAAADfQ4GFnuOh1qLUqubgYUu74HJVdJ&gclid=Cj0KCQjw9-PNBhDfARIsABHN6-2tP97bJDzZ4kjoVzemtt4whx10NbnGRCHHyaVajUKR9K9_-iN4K8AaAri8EALw_wcB,
Function Generator,,1,£7.00 ,£7.00 ,https://www.amazon.co.uk/Lysignal-XR2206-Precision-Function-Generator/dp/B073WVBRTM/ref=asc_df_B073WVBRTM?tag=googshopuk-21&linkCode=df0&hvadid=697266285117&hvpos=&hvnetw=g&hvrand=9741567280001622640&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9045999&hvtargid=pla-731424793392&psc=1&hvocijid=9741567280001622640-B073WVBRTM-&hvexpln=0&gad_source=1,
100k½ Potentiometer Linear,Various Uses,11,£0.61 ,£6.71 ,https://www.switchelectronics.co.uk/products/10k-linear-16mm-potentiometer-solder-lugs?currency=GBP&variant=45366012969269&gad_source=1&gad_campaignid=23285440990&gbraid=0AAAAAqEgT0A06VhANk1mY-LGWjg_ettwy&gclid=Cj0KCQjw9-PNBhDfARIsABHN6-19SaBTByBIoROo2EAx7qJIw7thd9UFW5iDgS9Z2yOffjIWailVQbkaAnu8EALw_wcB,
Jumper wies 120 pcs,,1,£6.49 ,£6.49 ,https://www.aliexpress.com/item/1005003219096948.html?spm=a2g0o.productlist.main.1.7de720deXoIhju&algo_pvid=e50ca0bc-5230-402f-bafa-bd35153d17e2&algo_exp_id=e50ca0bc-5230-402f-bafa-bd35153d17e2-0&pdp_ext_f=%7B%22order%22%3A%224908%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%213.04%211.99%21%21%213.92%212.57%21%40210390c217739576394244239e440f%2112000024783046537%21sea%21UK%214777915101%21X%211%210%21n_tag%3A-29919%3Bd%3Ad383ee7c%3Bm03_new_user%3A-29895%3BpisId%3A5000000202529707&curPageLogUid=mHtKhx4JM4MB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003219096948%7C_p_origin_prod%3A,
Raspberry Pi Pico 2,,1,£5.80 ,£5.80 ,https://thepihut.com/products/raspberry-pi-pico-2?variant=54063366701441,
10K½ Potentiometer Linear,Various uses,15,£0.64 ,£9.60 ,https://www.switchelectronics.co.uk/products/10k-linear-16mm-potentiometer-solder-lugs?currency=GBP&variant=45366012969269&gad_source=1&gad_campaignid=23285440990&gbraid=0AAAAAqEgT0A06VhANk1mY-LGWjg_ettwy&gclid=Cj0KCQjw9-PNBhDfARIsABHN6-19SaBTByBIoROo2EAx7qJIw7thd9UFW5iDgS9Z2yOffjIWailVQbkaAnu8EALw_wcB,
Rotary Encoder Dual Channel,Transposition selection,2,£2.23 ,£4.46 ,https://www.mouser.co.uk/ProductDetail/Alps-Alpine/EC12E24404A8?qs=vrbHPQ%2FMREixC15DRkmoKg%3D%3D&mgh=1&vip=1&utm_id=20797887762&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gad_campaignid=20804236796&gbraid=0AAAAADn_wf1Yc5YD6mX0XBn4A9-y9y7zC&gclid=EAIaIQobChMI6e_1oNSskwMVqpNQBh29cR1ZEAQYAiABEgKa2_D_BwE,
50k½ Trimmer Resistor,For expo frequency adj,8,£0.52 ,£4.16 ,https://www.switchelectronics.co.uk/products/50k-3296-variable-potentiometer-trimmer,
SPST Toggle Switch,Various uses,5,£0.77 ,£3.85 ,https://www.switchelectronics.co.uk/products/on-off-miniature-toggle-switch-spst,
SSI2164 Quad VCA,Quad channel VCA,1,£3.80 ,£3.80 ,https://www.thonk.co.uk/shop/sound-semiconductor/,
SSI2144 LP VCF,LP VCF,1,£3.75 ,£3.75 ,https://www.thonk.co.uk/shop/sound-semiconductor/,
5K½ Trimmer Potentiometers,Various uses,7,£0.53 ,£3.71 ,https://www.switchelectronics.co.uk/products/5k-3296-variable-potentiometer-trimmer,
560pF Unpolarized PS Capacitor,,2,£1.81 ,£3.62 ,https://www.mouser.co.uk/ProductDetail/Vishay-BC-Components/BFC237546561?qs=kL1ClTr6oBqT2w76ajcAjg%3D%3D,
10uF Unpolarized Capacitor,,2,£1.68 ,£3.36 ,https://www.mouser.co.uk/ProductDetail/Vishay-BC-Components/MAL202129109E3?qs=sGAEpiMZZMsh%252B1woXyUXj1B1SwRpUa5c7cJ9BxtbM5g%3D,
10 Metres 22AWG Wire,,1,£2.91 ,£2.91 ,https://www.aliexpress.com/item/1005001980629942.html?spm=a2g0o.productlist.main.4.6783TBQVTBQVKF&aem_p4p_detail=202603191502341658615531161680000476243&algo_pvid=0313e203-703c-45dd-a6a7-f60ad83fd506&algo_exp_id=0313e203-703c-45dd-a6a7-f60ad83fd506-3&pdp_ext_f=%7B%22order%22%3A%22928%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%2119.41%218.49%21%21%2125.03%2110.94%21%402103867617739577540628741e4f95%2112000052003962793%21sea%21UK%214777915101%21X%211%210%21n_tag%3A-29919%3Bd%3Ad383ee7c%3Bm03_new_user%3A-29895%3BpisId%3A5000000202126762&curPageLogUid=jSmtbV4berZY&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001980629942%7C_p_origin_prod%3A&search_p4p_id=202603191502341658615531161680000476243_1,
0.1uF Unpolarized Ceramic Capacitor,,20,£0.19 ,£3.80 ,https://www.switchelectronics.co.uk/products/100nf-multilayer-ceramic-capacitor-50v-x7r,
40nF unpolarized Cap,,1,£2.44 ,£2.44 ,https://www.mouser.co.uk/ProductDetail/Vishay-Cera-Mite/565RZ5UBA102EU403M?qs=sGAEpiMZZMsh%252B1woXyUXj60lD1IcYh5%252B4rOAri0ImE8%3D,
100½ Fixed Resistor,Various uses,50,£0.05 ,£2.43 ,https://www.switchelectronics.co.uk/products/100r-0-25w-metal-film-resistor-1-pack-of-100,
1.8k½ Resistor,,1,£2.43 ,£2.43 ,https://www.switchelectronics.co.uk/products/1-8k-0-25w-metal-film-resistor-1-pack-of-100,
